Commune,res.princ.2000,res.sec.2000,pop.2000,%res.sec.2000,res.sec/pop.2000,res.princ.1990,res.sec.1990,pop.1990,%res.sec.1990,res.sec/pop.1990
6601 Aire-la-Ville,250,20,743,0.074074074,0.0269179,194,22,503,0.101851852,0.043737575
6602 Anières,648,81,1961,0.111111111,0.041305456,504,82,1510,0.139931741,0.054304636
6603 Avully,642,77,1748,0.107093185,0.044050343,623,17,1809,0.0265625,0.009397457
6604 Avusy,416,35,1178,0.077605322,0.029711375,310,53,920,0.14600551,0.057608696
6605 Bardonnex,749,97,2069,0.11465721,0.046882552,657,68,1675,0.093793103,0.040597015
6606 Bellevue,536,74,1808,0.121311475,0.040929204,463,86,1545,0.156648452,0.05566343
6607 Bernex,3211,245,8637,0.070891204,0.028366331,3045,139,8812,0.043655779,0.015773945
6608 Carouge (GE),7927,998,16586,0.111820728,0.060171229,7159,516,14901,0.06723127,0.034628548
6609 Cartigny,282,54,751,0.160714286,0.071904128,238,28,666,0.105263158,0.042042042
6610 Céligny,223,46,639,0.171003717,0.07198748,226,34,669,0.130769231,0.050822123
6611 Chancy,322,28,877,0.08,0.031927024,252,41,660,0.139931741,0.062121212
6612 Chêne-Bougeries,3897,529,9610,0.119521012,0.055046826,3772,388,9262,0.093269231,0.0418916
6613 Chêne-Bourg,3191,333,6901,0.094494892,0.048253876,2804,212,6266,0.070291777,0.033833387
6614 Choulex,336,72,967,0.176470588,0.074457084,300,26,827,0.079754601,0.031438936
6615 Collex-Bossy,430,108,1242,0.200743494,0.086956522,344,29,982,0.077747989,0.029531568
6616 Collonge-Bellerive,2123,332,6118,0.135234216,0.0542661,1680,159,4980,0.086460033,0.031927711
6617 Cologny,1554,230,4691,0.128923767,0.049030058,1395,203,3936,0.127033792,0.051575203
6618 Confignon,1062,100,2979,0.08605852,0.033568312,892,42,2567,0.04496788,0.016361511
6619 Corsier (GE),592,85,1724,0.125553914,0.049303944,540,50,1548,0.084745763,0.032299742
6620 Dardagny,462,51,1260,0.099415205,0.04047619,390,36,1059,0.084507042,0.033994334
6621 Genève,85330,16464,173519,0.161738413,0.094882981,84113,9664,168530,0.103052987,0.057342906
6622 Genthod,714,95,2186,0.117428925,0.043458371,646,93,2011,0.125845737,0.046245649
6623 Le Grand-Saconnex,3139,592,7991,0.158670598,0.074083344,2783,268,6633,0.087840052,0.04040404
6624 Gy,110,8,382,0.06779661,0.020942408,93,9,250,0.088235294,0.036
6625 Hermance,295,45,794,0.132352941,0.056675063,260,43,681,0.141914191,0.063142438
6626 Jussy,379,57,1002,0.130733945,0.056886228,309,18,850,0.055045872,0.021176471
6627 Laconnex,172,11,542,0.06010929,0.020295203,167,5,487,0.029069767,0.01026694
6628 Lancy,10895,1020,25343,0.085606379,0.0402478,9722,355,23115,0.035228739,0.015357993
6629 Meinier,656,62,1681,0.086350975,0.036882808,590,24,1589,0.039087948,0.015103839
6630 Meyrin,7734,958,18758,0.110216291,0.051071543,7721,256,19969,0.032092265,0.012819871
6631 Onex,7109,416,16204,0.055282392,0.025672673,6793,207,15806,0.029571429,0.013096293
6632 Perly-Certoux,1054,198,2746,0.158146965,0.07210488,971,31,2526,0.030938124,0.012272367
6633 Plan-les-Ouates,2382,258,6183,0.097727273,0.041727317,1840,107,4991,0.054956343,0.021438589
6634 Pregny-Chambésy,1006,140,3016,0.122164049,0.046419098,821,157,2621,0.160531697,0.059900801
6635 Presinge,170,24,563,0.12371134,0.042628774,149,19,505,0.113095238,0.037623762
6636 Puplinge,802,34,2049,0.040669856,0.01659346,759,18,2127,0.023166023,0.008462623
6637 Russin,144,18,398,0.111111111,0.045226131,133,13,359,0.089041096,0.036211699
6638 Satigny,977,155,2691,0.136925795,0.057599405,828,88,2251,0.096069869,0.039093736
6639 Soral,179,24,592,0.118226601,0.040540541,178,20,531,0.101010101,0.037664783
6640 Thônex,5043,817,11767,0.139419795,0.069431461,4416,368,10217,0.076923077,0.036018401
6641 Troinex,731,89,1947,0.108536585,0.045711351,497,39,1405,0.072761194,0.027758007
6642 Vandoeuvres,760,80,2207,0.095238095,0.036248301,628,63,1918,0.091172214,0.032846715
6643 Vernier,11873,1346,28607,0.101823133,0.047051421,11441,320,28187,0.027208571,0.011352751
6644 Versoix,3734,802,10502,0.17680776,0.076366406,3260,321,8876,0.089639765,0.036164939
6645 Veyrier,3123,354,8908,0.101811907,0.03973956,2471,178,7123,0.067195168,0.024989471
