Commune,res.princ.2000,res.sec.2000,pop.2000,%res.sec.2000,res.sec/pop.2000,res.princ.1990,res.sec.1990,pop.1990,%res.sec.1990,res.sec/pop.1990
6001 Birgisch,80,74,220,0.480519481,0.336363636,70,69,214,0.496402878,0.322429907
6002 Brig-Glis,4296,607,11726,0.123801754,0.051765308,3894,319,10403,0.075718016,0.030664231
6004 Eggerberg,115,122,397,0.514767932,0.307304786,116,130,377,0.528455285,0.344827586
6006 Mund,186,55,610,0.228215768,0.090163934,177,50,627,0.220264317,0.079744817
6007 Naters,2882,1291,7574,0.309369758,0.170451545,2654,1399,7333,0.345176413,0.190781399
6008 Ried-Brig,538,150,1696,0.218023256,0.088443396,474,148,1503,0.237942122,0.098469727
6009 Simplon,108,86,372,0.443298969,0.231182796,100,101,362,0.502487562,0.279005525
6010 Termen,274,297,827,0.520140105,0.359129383,231,277,667,0.545275591,0.415292354
6011 Zwischbergen,31,43,158,0.581081081,0.272151899,55,34,184,0.382022472,0.184782609
6021 Ardon,764,180,2315,0.190677966,0.07775378,716,87,2006,0.108343711,0.04336989
6022 Chamoson,971,575,2512,0.371927555,0.228901274,861,164,2344,0.16,0.06996587
6023 Conthey,2436,351,6280,0.125941873,0.05589172,2197,281,5863,0.113397902,0.047927682
6024 Nendaz,1939,4381,5389,0.693196203,0.81295231,1848,3551,5129,0.657714392,0.692337688
6025 Vétroz,1235,170,3916,0.120996441,0.043411645,1175,76,3363,0.060751399,0.02259887
6031 Bagnes,2331,4877,6130,0.676609323,0.795595432,1908,5157,5237,0.729936306,0.984724079
6032 Bourg-Saint-Pierre,69,123,202,0.640625,0.608910891,60,113,195,0.653179191,0.579487179
6033 Liddes,243,221,693,0.476293103,0.318903319,216,217,670,0.501154734,0.323880597
6034 Orsières,951,1177,2770,0.553101504,0.424909747,864,1213,2566,0.584015407,0.472720187
6035 Sembrancher,279,96,820,0.256,0.117073171,271,98,767,0.265582656,0.127770535
6036 Vollèges,431,229,1401,0.346969697,0.163454675,413,238,1268,0.365591398,0.187697161
6052 Bellwald,158,632,490,0.8,1.289795918,122,752,334,0.860411899,2.251497006
6054 Binn,67,120,172,0.64171123,0.697674419,57,111,201,0.660714286,0.552238806
6055 Blitzingen,42,153,104,0.784615385,1.471153846,35,145,82,0.805555556,1.768292683
6056 Ernen,163,400,575,0.710479574,0.695652174,147,359,557,0.709486166,0.644524237
6057 Fiesch,351,489,1018,0.582142857,0.480353635,327,592,957,0.644178455,0.618599791
6058 Fieschertal,93,115,271,0.552884615,0.424354244,83,135,262,0.619266055,0.515267176
6061 Lax,111,270,321,0.708661417,0.841121495,98,256,322,0.723163842,0.795031056
6064 Niederwald,32,27,80,0.457627119,0.3375,27,32,71,0.542372881,0.450704225
6073 Grafschaft,69,224,208,0.764505119,1.076923077,71,194,210,0.732075472,0.923809524
6074 Münster-Geschinen,0,0,530,#DIV/0!,0,0,0,534,#DIV/0!,0
6075 Reckingen-Gluringen,0,0,570,#DIV/0!,0,0,0,542,#DIV/0!,0
6076 Obergoms,0,0,0,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!
6081 Les Agettes,105,300,270,0.740740741,1.111111111,94,264,249,0.737430168,1.060240964
6082 Ayent,1153,1802,3127,0.609813875,0.576271186,1049,1704,2956,0.618961133,0.576454668
6083 Evolène,548,957,1551,0.635880399,0.617021277,518,1192,1556,0.697076023,0.766066838
6084 Hérémence,450,255,1326,0.361702128,0.192307692,471,161,1301,0.254746835,0.123750961
6085 Mase,92,229,216,0.713395639,1.060185185,92,181,229,0.663003663,0.790393013
6086 Nax,167,410,406,0.710571924,1.009852217,162,287,417,0.639198218,0.6882494
6087 Saint-Martin (VS),337,227,975,0.40248227,0.232820513,324,283,973,0.466227348,0.290853032
6088 Vernamiège,68,151,170,0.689497717,0.888235294,69,71,186,0.507142857,0.38172043
6089 Vex,498,1255,1317,0.715915573,0.952923311,446,1229,1129,0.733731343,1.088573959
6101 Agarn,268,28,778,0.094594595,0.035989717,230,27,685,0.105058366,0.039416058
6102 Albinen,104,207,281,0.665594855,0.736654804,102,193,259,0.654237288,0.745173745
6104 Ergisch,67,151,160,0.69266055,0.94375,61,88,185,0.590604027,0.475675676
6105 Erschmatt,113,79,322,0.411458333,0.245341615,101,101,319,0.5,0.31661442
6109 Inden,42,92,110,0.686567164,0.836363636,38,116,83,0.753246753,1.397590361
6110 Leuk,1126,291,3328,0.205363444,0.087439904,1061,252,3122,0.191926885,0.080717489
6111 Leukerbad,527,2382,1581,0.818838089,1.506641366,518,2161,1497,0.80664427,1.443553774
6112 Oberems,48,117,133,0.709090909,0.879699248,46,100,139,0.684931507,0.71942446
6113 Salgesch,436,75,1287,0.146771037,0.058275058,426,63,1228,0.128834356,0.051302932
6114 Turtmann,325,55,1026,0.144736842,0.053606238,288,42,895,0.127272727,0.046927374
6115 Unterems,51,73,153,0.588709677,0.477124183,56,81,159,0.591240876,0.509433962
6116 Varen,242,79,658,0.246105919,0.12006079,226,90,661,0.284810127,0.136157337
