Commune,res.princ.2000,res.sec.2000,pop.2000,%res.sec.2000,res.sec/pop.2000,res.princ.1990,res.sec.1990,pop.1990,%res.sec.1990,res.sec/pop.1990
5401 Aigle,3286,892,7591,0.213499282,0.117507575,3263,297,7400,0.083426966,0.040135135
5402 Bex,2334,1012,5562,0.302450687,0.181948939,2289,541,5238,0.191166078,0.103283696
5403 Chessel,103,16,306,0.134453782,0.052287582,77,31,227,0.287037037,0.136563877
5404 Corbeyrier,142,115,347,0.447470817,0.331412104,123,116,318,0.485355649,0.364779874
5405 Gryon,449,1316,1029,0.745609065,1.278911565,430,1254,970,0.744655582,1.292783505
5406 Lavey-Morcles,339,145,794,0.299586777,0.182619647,366,81,859,0.181208054,0.094295693
5407 Leysin,885,1460,2738,0.622601279,0.533235939,905,1112,2384,0.551313832,0.466442953
5408 Noville,228,45,633,0.164835165,0.071090047,200,16,532,0.074074074,0.030075188
5409 Ollon,2130,3097,6223,0.592500478,0.497669934,1886,2706,5445,0.589285714,0.496969697
5410 Ormont-Dessous,483,961,971,0.665512465,0.989701339,397,998,878,0.715412186,1.13667426
5411 Ormont-Dessus,567,1162,1307,0.672064777,0.889058914,500,1076,1134,0.682741117,0.948853616
5412 Rennaz,200,14,546,0.065420561,0.025641026,142,35,351,0.197740113,0.0997151
5413 Roche (VD),359,69,903,0.161214953,0.07641196,346,24,880,0.064864865,0.027272727
5414 Villeneuve (VD),1712,556,4011,0.245149912,0.138618798,1765,164,3872,0.085018144,0.042355372
5415 Yvorne,354,59,966,0.142857143,0.061076605,351,44,955,0.111392405,0.046073298
5421 Apples,410,75,1158,0.154639175,0.064766839,350,29,997,0.07651715,0.029087262
5422 Aubonne,1075,177,2585,0.141373802,0.068471954,1031,73,2338,0.066123188,0.031223268
5423 Ballens,136,23,341,0.144654088,0.06744868,140,19,350,0.119496855,0.054285714
5424 Berolle,65,14,203,0.17721519,0.068965517,53,24,148,0.311688312,0.162162162
5425 Bière,519,93,1390,0.151960784,0.066906475,538,26,1378,0.046099291,0.018867925
5426 Bougy-Villars,144,44,368,0.234042553,0.119565217,126,36,319,0.222222222,0.112852665
5427 Féchy,229,24,631,0.09486166,0.038034865,196,13,532,0.062200957,0.02443609
5428 Gimel,512,106,1310,0.171521036,0.080916031,514,77,1289,0.130287648,0.05973623
5429 Longirod,131,36,356,0.215568862,0.101123596,112,43,317,0.277419355,0.135646688
5430 Marchissy,136,21,324,0.133757962,0.064814815,116,23,272,0.165467626,0.084558824
5431 Mollens (VD),105,13,272,0.110169492,0.047794118,88,22,224,0.2,0.098214286
5432 Montherod,154,19,428,0.10982659,0.044392523,114,11,295,0.088,0.037288136
5433 Pizy,23,4,74,0.148148148,0.054054054,23,5,62,0.178571429,0.080645161
5434 Saint-George,225,105,637,0.318181818,0.164835165,179,101,477,0.360714286,0.211740042
5435 Saint-Livres,205,22,495,0.0969163,0.044444444,170,29,409,0.145728643,0.070904645
5436 Saint-Oyens,93,10,245,0.097087379,0.040816327,66,6,174,0.083333333,0.034482759
5437 Saubraz,87,18,197,0.171428571,0.091370558,88,7,194,0.073684211,0.036082474
5451 Avenches,1022,244,2635,0.192733017,0.09259962,996,158,2416,0.136915078,0.065397351
5452 Bellerive (VD),191,267,530,0.582969432,0.503773585,181,243,485,0.573113208,0.501030928
5453 Chabrey,78,23,202,0.227722772,0.113861386,70,13,174,0.156626506,0.074712644
5455 Constantine,99,24,263,0.195121951,0.091254753,91,4,246,0.042105263,0.016260163
5456 Cudrefin,351,240,841,0.406091371,0.285374554,277,226,729,0.449304175,0.310013717
5458 Faoug,225,104,575,0.316109422,0.180869565,226,76,534,0.251655629,0.142322097
5459 Montmagny,57,17,166,0.22972973,0.102409639,56,13,127,0.188405797,0.102362205
5460 Mur (VD),64,16,170,0.2,0.094117647,54,17,163,0.23943662,0.104294479
5461 Oleyres,77,11,231,0.125,0.047619048,78,6,226,0.071428571,0.026548673
5462 Vallamand,140,71,319,0.336492891,0.222570533,91,77,234,0.458333333,0.329059829
5463 Villars-le-Grand,102,13,285,0.113043478,0.045614035,99,13,280,0.116071429,0.046428571
5471 Bettens,108,12,299,0.1,0.040133779,78,5,214,0.060240964,0.023364486
5472 Bournens,99,8,244,0.074766355,0.032786885,89,5,218,0.053191489,0.02293578
5473 Boussens,251,27,703,0.097122302,0.038406828,109,13,324,0.106557377,0.040123457
5474 La Chaux (Cossonay),127,16,340,0.111888112,0.047058824,107,5,293,0.044642857,0.017064846
5475 Chavannes-le-Veyron,42,1,132,0.023255814,0.007575758,38,1,109,0.025641026,0.009174312
5476 Chevilly,82,9,214,0.098901099,0.042056075,72,10,186,0.12195122,0.053763441
5477 Cossonay,1032,105,2374,0.092348285,0.044229149,815,39,1960,0.045667447,0.019897959
5478 Cottens (VD),139,4,351,0.027972028,0.011396011,98,5,252,0.048543689,0.01984127
5479 Cuarnens,149,16,385,0.096969697,0.041558442,138,9,357,0.06122449,0.025210084
5480 Daillens,212,33,577,0.134693878,0.057192374,195,12,543,0.057971014,0.022099448
5481 Dizy,57,10,160,0.149253731,0.0625,43,4,118,0.085106383,0.033898305
5482 Eclépens,350,36,877,0.093264249,0.041049031,307,19,818,0.058282209,0.023227384
5483 Ferreyres,82,9,228,0.098901099,0.039473684,60,13,151,0.178082192,0.086092715
5484 Gollion,221,18,566,0.075313808,0.03180212,167,10,431,0.056497175,0.023201856
5485 Grancy,124,7,316,0.053435115,0.022151899,114,11,280,0.088,0.039285714
5486 L'Isle,337,72,865,0.17603912,0.083236994,341,53,815,0.134517766,0.065030675
5487 Lussery-Villars,125,12,324,0.087591241,0.037037037,102,11,238,0.097345133,0.046218487
5488 Mauraz,18,2,42,0.1,0.047619048,16,1,41,0.058823529,0.024390244
5489 Mex (VD),207,33,506,0.1375,0.065217391,152,35,393,0.187165775,0.089058524
5490 Moiry,76,23,198,0.232323232,0.116161616,79,11,214,0.122222222,0.051401869
5491 Mont-la-Ville,127,21,321,0.141891892,0.065420561,116,29,308,0.2,0.094155844
5492 Montricher,286,47,703,0.141141141,0.06685633,254,46,652,0.153333333,0.070552147
5493 Orny,110,12,309,0.098360656,0.038834951,68,1,207,0.014492754,0.004830918
5494 Pampigny,287,40,825,0.122324159,0.048484848,230,18,655,0.072580645,0.027480916
5495 Penthalaz,969,66,2277,0.063768116,0.028985507,881,27,2150,0.029735683,0.01255814
5496 Penthaz,506,29,1306,0.054205607,0.022205207,474,11,1247,0.022680412,0.008821171
5497 Pompaples,237,44,688,0.15658363,0.063953488,209,23,607,0.099137931,0.037891269
5498 La Sarraz,723,76,1656,0.095118899,0.04589372,628,36,1455,0.054216867,0.024742268
5499 Senarclens,121,5,346,0.03968254,0.014450867,95,6,287,0.059405941,0.020905923
5500 Sévery,79,2,162,0.024691358,0.012345679,57,2,143,0.033898305,0.013986014
5501 Sullens,300,15,809,0.047619048,0.018541409,242,15,668,0.058365759,0.02245509
5503 Vufflens-la-Ville,388,66,1023,0.145374449,0.064516129,369,32,972,0.079800499,0.032921811
5511 Assens,271,26,743,0.087542088,0.034993271,206,11,592,0.050691244,0.018581081
5512 Bercher,340,26,852,0.071038251,0.030516432,279,13,770,0.044520548,0.016883117
5513 Bioley-Orjulaz,110,8,289,0.06779661,0.027681661,93,6,225,0.060606061,0.026666667
5514 Bottens,327,24,896,0.068376068,0.026785714,275,14,764,0.048442907,0.018324607
5515 Bretigny-sur-Morrens,227,22,554,0.088353414,0.039711191,185,27,432,0.127358491,0.0625
5516 Cugy (VD),762,41,1920,0.051058531,0.021354167,639,17,1717,0.025914634,0.00990099
5517 Dommartin,105,5,254,0.045454545,0.019685039,79,3,196,0.036585366,0.015306122
5518 Echallens,1582,165,4098,0.094447624,0.040263543,1277,41,3333,0.031107739,0.01230123
5519 Eclagnens,29,2,62,0.064516129,0.032258065,24,1,61,0.04,0.016393443
5520 Essertines-sur-Yverdon,234,23,673,0.089494163,0.034175334,215,15,590,0.065217391,0.025423729
5521 Etagnières,292,32,782,0.098765432,0.040920716,253,4,693,0.015564202,0.005772006
5522 Fey,172,24,429,0.12244898,0.055944056,161,10,390,0.058479532,0.025641026
5523 Froideville,534,40,1480,0.069686411,0.027027027,480,21,1314,0.041916168,0.015981735
5524 Goumoens-la-Ville,219,13,606,0.056034483,0.021452145,176,6,485,0.032967033,0.012371134
5525 Goumoens-le-Jux,11,1,30,0.083333333,0.033333333,9,1,26,0.1,0.038461538
5526 Malapalud,22,7,52,0.24137931,0.134615385,17,2,56,0.105263158,0.035714286
5527 Morrens (VD),339,39,873,0.103174603,0.04467354,304,19,846,0.058823529,0.022458629
5528 Naz,24,11,90,0.314285714,0.122222222,21,1,74,0.045454545,0.013513514
5529 Oulens-sous-Echallens,166,7,436,0.040462428,0.016055046,137,9,378,0.061643836,0.023809524
5530 Pailly,149,21,379,0.123529412,0.055408971,131,11,361,0.077464789,0.030470914
5531 Penthéréaz,122,10,334,0.075757576,0.02994012,102,18,263,0.15,0.068441065
5532 Poliez-le-Grand,189,22,527,0.104265403,0.041745731,190,8,495,0.04040404,0.016161616
5533 Poliez-Pittet,204,19,532,0.085201794,0.035714286,180,6,474,0.032258065,0.012658228
5534 Rueyres,77,3,184,0.0375,0.016304348,62,8,177,0.114285714,0.04519774
5535 Saint-Barthélemy (VD),188,12,609,0.06,0.019704433,135,3,446,0.02173913,0.006726457
5536 Sugnens,82,10,222,0.108695652,0.045045045,68,5,182,0.068493151,0.027472527
5537 Villars-le-Terroir,235,30,633,0.113207547,0.047393365,217,19,595,0.080508475,0.031932773
5538 Villars-Tiercelin,144,14,345,0.088607595,0.04057971,125,7,288,0.053030303,0.024305556
5539 Vuarrens,198,16,536,0.074766355,0.029850746,181,5,548,0.02688172,0.009124088
5551 Bonvillars,126,41,351,0.245508982,0.116809117,127,29,312,0.185897436,0.092948718
5552 Bullet,220,196,533,0.471153846,0.367729831,202,182,477,0.473958333,0.381551363
5553 Champagne,257,23,662,0.082142857,0.034743202,222,18,530,0.075,0.033962264
5554 Concise,276,90,668,0.245901639,0.134730539,252,76,596,0.231707317,0.127516779
5555 Corcelles-près-Concise,85,70,272,0.451612903,0.257352941,85,62,246,0.421768707,0.25203252
5556 Fiez,125,9,346,0.067164179,0.026011561,116,9,282,0.072,0.031914894
